review_key,date_key,customer_key,product_key,rating,review_text,sentiment_score,created_at
1,20231205,14,89,2,Somewhat disappointed,0.21,2026-01-30 00:03:26.476104
2,20240427,679,75,3,Okay for the price,-0.88,2026-01-30 00:03:26.476104
3,20241230,1268,16,4,Very satisfied overall,-0.94,2026-01-30 00:03:26.476104
4,20241204,1605,136,1,Completely disappointed,0.14,2026-01-30 00:03:26.476104
5,20240612,1601,44,4,Good quality and fast delivery,-0.31,2026-01-30 00:03:26.476104
6,20240612,1982,149,5,"Perfect, would buy again",-0.05,2026-01-30 00:03:26.476104
7,20240118,900,70,4,Very satisfied overall,0.01,2026-01-30 00:03:26.476104
8,20240816,161,18,3,Okay for the price,0.0,2026-01-30 00:03:26.476104
9,20240621,1655,139,3,Okay for the price,-0.41,2026-01-30 00:03:26.476104
10,20240315,207,84,1,"Terrible experience, do not buy",0.04,2026-01-30 00:03:26.476104
11,20241223,1685,110,4,Good value for the price,0.04,2026-01-30 00:03:26.476104
12,20240521,46,70,3,"Average product, does the job",0.93,2026-01-30 00:03:26.476104
13,20240722,654,9,4,Good quality and fast delivery,-0.48,2026-01-30 00:03:26.476104
14,20241116,1759,81,5,"Amazing quality, exceeded expectations",0.02,2026-01-30 00:03:26.476104
15,20241209,494,86,4,Very satisfied overall,0.49,2026-01-30 00:03:26.476104
16,20240314,1058,69,5,"Amazing quality, exceeded expectations",-0.33,2026-01-30 00:03:26.476104
17,20240331,622,23,4,Good value for the price,0.34,2026-01-30 00:03:26.476104
18,20240908,1651,55,5,"Amazing quality, exceeded expectations",-0.68,2026-01-30 00:03:26.476104
19,20240706,662,118,2,Somewhat disappointed,0.05,2026-01-30 00:03:26.476104
20,20241230,128,18,4,Good value for the price,0.65,2026-01-30 00:03:26.476104
21,20240701,299,7,3,Okay for the price,0.87,2026-01-30 00:03:26.476104
22,20240509,3,158,2,Somewhat disappointed,-0.28,2026-01-30 00:03:26.476104
23,20240408,181,148,2,Somewhat disappointed,0.37,2026-01-30 00:03:26.476104
24,20240224,1651,20,1,Completely disappointed,-0.39,2026-01-30 00:03:26.476104
25,20240307,927,100,5,"Amazing quality, exceeded expectations",0.5,2026-01-30 00:03:26.476104
26,20240917,302,18,2,Below expectations,-0.79,2026-01-30 00:03:26.476104
27,20240301,1428,149,1,Completely disappointed,-0.1,2026-01-30 00:03:26.476104
28,20240123,954,80,2,Below expectations,0.07,2026-01-30 00:03:26.476104
29,20240525,1154,73,1,Very poor quality,-0.22,2026-01-30 00:03:26.476104
30,20241222,1975,118,4,Good quality and fast delivery,0.37,2026-01-30 00:03:26.476104
31,20241106,1736,123,2,Below expectations,0.7,2026-01-30 00:03:26.476104
32,20231214,1299,146,1,Completely disappointed,0.12,2026-01-30 00:03:26.476104
33,20241204,1831,2,1,"Terrible experience, do not buy",0.1,2026-01-30 00:03:26.476104
34,20240226,487,6,2,Below expectations,0.93,2026-01-30 00:03:26.476104
